Location-lat,Location-long,Speed,Accelerometer-X,Accelerometer-Y,Accelerometer-Z
0,0,0,-1.12,1.04,10.07
0,0,0,3.06,0.46,10.17
0,0,0,3.7,1.39,10.3
0,0,0,0.93,1.6,6.02
0,0,0,-0.45,1.93,9.72
0,0,0,-0.54,1.9,9.8
0,0,0,-0.59,1.81,9.67
0,0,0,-0.38,1.81,9.69
0,0,0,-0.55,1.76,9.52
0,0,0,-0.39,1.94,9.87
0,0,0,-0.52,1.86,9.68
0,0,0,-0.57,1.96,9.78
0,0,0,-0.5,1.84,9.64
0,0,0,-0.6,1.81,9.63
0,0,0,-0.47,1.89,9.66
0,0,0,-0.34,1.91,9.74
0,0,0,-0.52,1.9,9.74
0,0,0,-0.58,1.82,9.67
0,0,0,-0.53,1.85,9.68
0,0,0,-0.52,1.79,9.72
0,0,0,-0.53,1.81,9.57
0,0,0,-0.51,1.87,9.69
0,0,0,-0.49,1.81,9.63
0,0,0,-0.56,1.82,9.65
0,0,0,-0.52,1.82,9.69
0,0,0,-0.53,1.84,9.68
0,0,0,-0.54,1.82,9.69
0,0,0,-0.57,1.79,9.69
0,0,0,-0.53,1.83,9.65
0,0,0,-0.56,1.85,9.68
0,0,0,-0.57,1.85,9.66
0,0,0,-0.56,1.82,9.68
0,0,0,-0.57,1.85,9.72
0,0,0,-0.53,1.82,9.66
0,0,0,-0.55,1.84,9.69
0,0,0,-0.55,1.82,9.65
0,0,0,-0.43,1.82,9.66
0,0,0,-0.68,1.81,9.7
0,0,0,-0.68,1.79,9.7
0,0,0,-0.49,1.83,9.65
0,0,0,-0.5,1.81,9.66
0,0,0,-0.6,1.83,9.68
0,0,0,-0.51,1.85,9.68
0,0,0,-0.53,1.82,9.63
0,0,0,-0.55,1.81,9.67
0,0,0,-0.57,1.81,9.72
0,0,0,-0.55,1.83,9.68
0,0,0,-0.54,1.8,9.65
0,0,0,-0.58,1.91,9.72
0,0,0,-0.57,1.81,9.68
0,0,0,-0.51,1.38,9.77
0,0,0,-0.45,1.37,9.74
0,0,0,-0.57,1.46,9.65
0,0,0,-0.6,1.5,9.74
0,0,0,-0.67,1.58,9.81
0,0,0,-0.72,1.73,9.55
0,0,0,-0.51,1.81,9.79
0,0,0,-0.68,1.88,9.62
0,0,0,-0.62,2.19,9.54
0,0,0,-0.58,2.41,9.48
0,0,0,-0.67,2.48,9.71
0,0,0,-0.71,2.26,9.54
0,0,0,-0.51,1.82,9.78
0,0,0,-0.64,1.7,9.68
0,0,0,-0.62,1.75,9.68
0,0,0,-0.5,2.45,9.44
0,0,0,-0.25,2.2,9.62
0,0,0,-0.38,2.03,9.5
0,0,0,-0.45,1.92,9.72
0,0,0,-0.28,1.75,9.7
0,0,0,-0.07,1.85,9.93
0,0,0,-0.57,1.43,9.67
0,0,0,-0.45,1.49,9.55
0,0,0,-0.72,1.52,9.75
0,0,0,-0.56,1.58,9.6
0,0,0,-0.57,2.15,9.77
0,0,0,-0.32,2,9.65
0,0,0,-0.56,1.87,9.72
0,0,0,-0.37,1.9,10.04
0,0,0,-0.5,1.24,9.69
0,0,0,-0.35,1.37,9.85
0,0,0,-0.55,1.7,9.53
0,0,0,-0.62,2.18,9.57
0,0,0,-0.59,2.28,9.57
0,0,0,-0.58,2.15,9.56
0,0,0,-0.5,1.96,9.67
0,0,0,-0.48,1.78,9.69
0,0,0,-0.55,1.84,9.69
0,0,0,-0.44,2.01,9.69
0,0,0,-0.23,2.25,9.67
0,0,0,-0.23,2.61,9.52
0,0,0,-0.13,2.98,9.47
0,0,0,0.13,2.68,9.57
0,0,0,-0.06,2.49,9.34
0,0,0,-0.28,2.6,9.15
0,0,0,0.02,2.61,10.08
0,0,0,-0.74,2.35,9.54
0,0,0,-0.24,2.23,9.72
0,0,0,-0.23,1.85,9.5
0,0,0,-0.49,1.64,9.5
0,0,0,-0.32,1.81,9.98
0,0,0,-0.64,1.67,10.36
0,0,0,-0.51,1.72,9.57
0,0,0,-0.4,1.81,9.73
0,0,0,-0.43,1.63,9.16
0,0,0,-0.04,1.85,9.86
0,0,0,-0.42,2,9.78
0,0,0,-0.54,1.62,10.37
0,0,0,-0.19,1.63,9.58
0,0,0,-0.37,1.86,9.44
0,0,0,-0.53,1.64,9.52
0,0,0,-0.63,1.35,10.06
0,0,0,-0.52,1.25,9.62
0,0,0,-0.79,1.43,9.93
0,0,0,-0.69,1.29,9.39
0,0,0,-0.58,1.38,10.28
0,0,0,-0.23,1.31,9.62
0,0,0,-0.35,1.5,9.9
0,0,0,-0.57,1.64,9.8
0,0,0,-0.33,1.6,9.62
0,0,0,-0.36,1.67,9.75
0,0,0,0.38,1.76,9.78
0,0,0,0,1.48,9.39
0,0,0,-0.57,1.42,9.68
0,0,0,-0.35,1.14,9.44
0,0,0,-0.17,1.46,9.74
0,0,0,0.5,1.69,9.52
0,0,0,0.33,1.84,9.64
0,0,0,0.23,1.77,9.53
0,0,0,-0.77,1.9,9.64
0,0,0,-0.67,1.81,9.4
0,0,0,-0.93,1.63,9.76
0,0,0,-0.71,1.38,10.07
0,0,0,-0.32,1.96,9.99
0,0,0,0,1.94,9.55
0,0,0,-0.49,1.98,9.48
0,0,0,-0.89,1.89,9.76
0,0,0,-0.73,1.98,9.84
0,0,0,-0.33,2.12,9.66
