Location-lat,Location-long,Speed,Accelerometer-X,Accelerometer-Y,Accelerometer-Z
49.222888, 4.049897, 0.00, -2.13, 2.48, 9.74
49.222922, 4.049804, 5.95, -2.39, 2.42, 9.79
49.222922, 4.049804, 5.95, -2.17, 2.01, 9.40
49.222966, 4.049694, 9.08, -2.33, 1.78, 9.55
49.222966, 4.049694, 9.08, -0.48, 1.67, 7.12
49.223015, 4.049576, 9.69, -1.23, 2.44, 10.22
49.223015, 4.049576, 9.69, -1.99, 1.34, 9.18
49.223067, 4.049451, 10.49, -1.53, 1.10, 8.73
49.223067, 4.049451, 10.49, -0.57, 0.89, 9.68
49.223121, 4.049321, 10.65, -1.32, 1.63, 10.52
49.223121, 4.049321, 10.65, -1.66, 0.51, 8.51
49.223176, 4.049192, 10.57, -1.36, 0.81, 11.43
49.223176, 4.049192, 10.57, -1.06, 0.19, 9.01
49.223230, 4.049067, 10.21, -1.58, 0.87, 10.99
49.223230, 4.049067, 10.21, -1.58, 0.95, 9.69
49.223282, 4.048949, 9.91, -1.52, 0.54, 9.80
49.223282, 4.048949, 9.91, -1.14, 0.67, 8.90
49.223331, 4.048834, 9.75, -1.35, 1.13, 9.51
49.223331, 4.048834, 9.75, -0.64, 0.37, 10.35
49.223378, 4.048725, 9.49, -0.25, -0.25, 8.02
49.223378, 4.048725, 9.49, -0.70, 0.74, 8.66
49.223424, 4.048619, 9.16, -1.56, 0.69, 10.34
49.223471, 4.048517, 9.08, -1.09, 2.32, 9.03
49.223471, 4.048517, 9.08, -1.55, 1.31, 9.47
49.223517, 4.048412, 9.20, -1.13, 1.36, 9.36
49.223517, 4.048412, 9.20, -0.98, 0.70, 8.01
49.223564, 4.048305, 9.39, -1.41, 0.73, 9.25
49.223564, 4.048305, 9.39, -0.80, 1.38, 7.64
49.223612, 4.048199, 9.29, -1.03, 0.29, 10.07
49.223612, 4.048199, 9.29, -1.40, 1.04, 10.26
