Location-lat,Location-long,Speed,Accelerometer-X,Accelerometer-Y,Accelerometer-Z
50.872894,1.978843,12.3,9.8,-1.28,-0.61
50.872804,1.978941,12.32,9.51,-1.51,-0.34
50.872804,1.978941,12.32,9.5,-1.66,-0.67
50.872714,1.979042,12.32,9.36,-1.68,-0.94
50.872714,1.979042,12.32,8.62,-1.75,-0.66
50.872632,1.979143,12.14,9.75,-1.76,-0.57
50.872632,1.979143,12.14,8.9,-1.78,-0.33
50.872543,1.97924,11.88,9.69,-1.5,-0.96
50.872543,1.97924,11.88,10.41,-1.14,-0.68
50.87246,1.979331,11.4,10.39,-0.55,0.03
50.87246,1.979331,11.4,10.38,-1.24,-0.5
50.872379,1.979425,11.73,9.45,-1.17,-1.08
50.872286,1.979527,12.01,10.02,-1.5,-0.06
50.872286,1.979527,12.01,9.68,-0.83,0.05
50.872286,1.979527,12.01,9.79,-0.73,-0.61
50.872196,1.979626,12.38,9.62,-0.99,-0.27
50.872102,1.979729,12.49,9.07,-0.89,0.11
50.872102,1.979729,12.49,9.91,-1.1,-0.54
50.872008,1.979834,13.16,10.78,-0.58,0.51
50.872008,1.979834,13.16,9.42,-0.93,-0.1
50.87191,1.979946,13.68,9.85,-1.3,-0.43
50.87191,1.979946,13.68,10.29,-1.08,0.43
50.871807,1.980058,13.69,10.49,-1.11,-0.08
50.871807,1.980058,13.69,8.85,-1.46,-1.49
50.871709,1.980172,13.78,9.64,-1.55,-0.02
50.871709,1.980172,13.78,8.69,-1.29,-0.19
50.871616,1.980287,13.79,9.14,-1.51,0.28
50.871616,1.980287,13.79,9.53,-1.4,-0.39
50.871519,1.980402,13.62,8.79,-1.47,-0.47
50.871519,1.980402,13.62,9.72,-1.13,-0.39
50.871424,1.980516,13.6,9.42,-1.4,-0.52
50.871424,1.980516,13.6,9.37,-1.46,0.06
50.871326,1.980628,13.55,10,-1.58,-0.53
50.871326,1.980628,13.55,10.19,-1.54,-0.09
50.87123,1.980735,13.26,10.03,-1.29,0.63
50.87123,1.980735,13.26,9.79,-1.18,0.03
50.87113,1.980848,13.24,9.52,-1.36,-0.81
50.87113,1.980848,13.24,10.2,-1.29,-0.69
50.871033,1.980954,13.29,10.11,-1.12,-0.22
50.871033,1.980954,13.29,8.98,-1.03,-0.93
50.870928,1.981072,13.59,9.84,-1.13,-0.91
50.870928,1.981072,13.59,9.73,-1.94,-0.14
50.870816,1.981198,13.68,9.67,-1.83,-0.16
50.870816,1.981198,13.68,10.07,-1.69,-1.13
50.870722,1.981307,13.37,9.62,-1.81,-1.16
50.870722,1.981307,13.37,9.84,-1.73,0.57
50.870626,1.981416,13.32,9.13,-1.62,-1.3
50.870531,1.981519,12.48,10.21,-1.7,-0.98
50.870531,1.981519,12.48,10.12,-2.14,-0.38
50.870439,1.981619,12.2,9.27,-1.67,-0.06
50.870439,1.981619,12.2,9.43,-1.89,-0.15
50.870352,1.981713,11.92,10.3,-1.47,0.67
50.870352,1.981713,11.92,10.09,-0.96,-0.57
50.870261,1.98181,12.09,10.04,-1.13,-0.97
50.870261,1.98181,12.09,9.65,-1.87,-0.05
50.87017,1.981905,12.17,10.57,-1.58,1.41
50.87017,1.981905,12.17,10.31,-1.52,0.24
50.870079,1.981999,11.88,9.34,-1.66,-0.95
50.870079,1.981999,11.88,9.95,-1.77,0.02
50.869991,1.982088,11.81,9.13,-1.8,-0.62
50.869991,1.982088,11.81,9.15,-1.66,-0.97
50.869901,1.982172,11.63,9.78,-1.68,-0.83
50.869901,1.982172,11.63,10.07,-2,-0.86
50.869816,1.982251,11.33,8.79,-2.39,-1.17
50.869816,1.982251,11.33,9.61,-2.22,-0.83
50.869731,1.982327,10.92,9.79,-2.37,-1.53
50.869731,1.982327,10.92,10.57,-3.23,-0.88
50.86965,1.982393,9.99,9.7,-1.71,-0.93
50.86965,1.982393,9.99,9.25,-1.79,-1.25
50.869568,1.982454,9.81,9.18,-1.28,-1.26
50.869568,1.982454,9.81,10.26,-1.49,-1.5
50.869486,1.982508,9.42,10.36,-1.43,-0.22
50.869486,1.982508,9.42,9.67,-1.49,0.27
50.869403,1.982539,9.3,9.99,-1.54,1.56
50.869403,1.982539,9.3,9.64,-2.07,0.89
50.869323,1.98256,9.24,10.15,-1.61,0.48
50.869323,1.98256,9.24,10.63,-1.52,1.31
50.869245,1.982588,9.11,9.54,-1.87,0.6
50.869245,1.982588,9.11,9.51,-1.83,-0.91
50.869174,1.982638,8.97,9.33,-1.92,-0.91
50.869174,1.982638,8.97,10.32,-1.25,-1.16
50.869105,1.982694,8.94,9.57,-1.04,-1.4
50.869105,1.982694,8.94,9.96,-1.23,-0.83
50.869033,1.982744,9.32,10.29,-0.28,-0.2
50.869033,1.982744,9.32,9.92,-1,-0.32
50.868952,1.982776,9.78,8.7,-1.31,-0.96
50.868865,1.982797,10.04,10.7,-1.29,0.66
50.868865,1.982797,10.04,8.94,-1.55,-1.41
50.86877,1.982822,11.28,9.61,-0.89,-0.03
50.86877,1.982822,11.28,8.63,-0.94,-0.24
50.868671,1.982847,11.77,10.01,-1.68,-1.17
50.868671,1.982847,11.77,8.73,-1.72,-1.62
50.86857,1.982871,11.96,10.44,-1.23,-1.02
50.86857,1.982871,11.96,10.4,-1.08,0.56
50.868458,1.982887,12.74,9.27,-1.58,-0.94
50.868458,1.982887,12.74,9.35,-1.54,-0.62
50.868344,1.982904,12.48,9.72,-1.56,-0.44
50.868344,1.982904,12.48,9.91,-2.06,-0.18
50.868228,1.982915,12.83,10.28,-1.44,-1.2
50.868228,1.982915,12.83,8.84,-1.15,-0.77
50.86811,1.982917,12.87,9.32,-1.98,0.58
50.86811,1.982917,12.87,9.11,-1.73,-0.46
50.867991,1.982908,12.82,9.86,-1.77,-1.23
50.867991,1.982908,12.82,10.16,-1.8,-0.65
50.867875,1.982895,12.51,9.84,-1.26,-0.93
50.867875,1.982895,12.51,9.49,-1.18,1.19
50.867759,1.982875,12.65,9.97,-0.6,-1.44
50.867759,1.982875,12.65,8.91,-1.07,-1.22
50.867647,1.982848,12.86,9.59,-1.38,-0.03
50.867647,1.982848,12.86,9.24,-1.48,-1.38
50.86753,1.98282,12.98,10.46,-1.85,0.51
50.86753,1.98282,12.98,9.68,-1.82,0.37
50.867411,1.982787,13.14,10.41,-1.55,0.65
50.867411,1.982787,13.14,9.02,-1.58,-0.63
