Location-lat,Location-long,Speed,Accelerometer-X,Accelerometer-Y,Accelerometer-Z
49.278364,4.101002,29.5,0.45,2.35,10.17
49.278364,4.101002,29.5,-1.05,1.64,9.57
49.278243,4.100636,29.6,-0.42,1.38,9.61
49.278243,4.100636,29.6,-0.72,1.91,9.2
49.278121,4.10027,29.63,-0.19,1.6,8.97
49.278121,4.10027,29.63,0.06,1.9,8.37
49.277995,4.099912,29.62,0.24,2.3,8.29
49.277995,4.099912,29.62,-1.02,1.57,9.14
49.277869,4.099554,29.54,-0.2,1.53,9.27
49.277869,4.099554,29.54,-1.15,0.6,7.66
49.277741,4.099193,29.49,0.1,1.16,8.03
49.277741,4.099193,29.49,-0.34,1.48,9.29
49.277611,4.098843,29.5,-0.02,1.49,10.56
49.277611,4.098843,29.5,-0.81,1.45,9.71
49.277487,4.098486,29.4,-0.29,0.77,9.62
49.277487,4.098486,29.4,-1.47,0.62,9.92
49.277359,4.098133,29.35,-0.23,2.16,11.03
49.277359,4.098133,29.35,-0.96,0.99,9.69
49.277227,4.097786,29.26,0.37,0.84,9.29
49.277227,4.097786,29.26,-0.53,1.6,11.4
49.277095,4.097435,29.16,-1.94,0.62,9.39
49.277095,4.097435,29.16,-2.02,1.59,8.6
49.276956,4.097095,29.1,-0.45,2.02,8.83
49.276956,4.097095,29.1,-0.59,1.43,9.91
49.276815,4.096764,29.09,-1.04,0.53,8.88
49.276672,4.096433,28.99,0.11,1.25,7.39
49.276672,4.096433,28.99,-1.11,1.07,10.11
49.27653,4.096111,28.97,-0.69,1.28,8.83
49.27653,4.096111,28.97,-0.81,0.68,9.49
49.276383,4.095785,28.99,-0.07,1.38,8.41
49.276383,4.095785,28.99,-1.05,1.55,8.44
49.276223,4.095471,29.04,-1.04,1.02,9.45
49.276223,4.095471,29.04,-0.83,1.86,10.78
49.276057,4.095164,29.07,0.35,1.87,10.75
49.276057,4.095164,29.07,-1.25,1.18,8.75
49.27589,4.094854,29.05,-0.94,1.05,9.9
49.27589,4.094854,29.05,-0.41,2.1,9.69
49.275722,4.094539,29.12,-0.91,2.49,10.66
49.275722,4.094539,29.12,-1.11,1.53,10.54
49.275551,4.094227,29.22,-1.77,1.12,9.78
49.275551,4.094227,29.22,-0.84,1.37,10.23
49.275378,4.09392,29.29,-0.03,0.89,9.01
49.275378,4.09392,29.29,-0.69,1.7,10.48
49.275199,4.093611,29.36,-1.77,1.11,9.42
49.275199,4.093611,29.36,-0.19,1.84,9.94
49.275015,4.093308,29.5,-1.14,0.7,9
49.275015,4.093308,29.5,-1.75,1.65,9.41
49.274832,4.093011,29.59,-0.08,0.93,9.62
49.274832,4.093011,29.59,-1.26,1.86,10.41
49.274647,4.092717,29.64,-1.46,1.43,8.89
49.274647,4.092717,29.64,-1.32,1.17,10.24
49.274457,4.09243,29.86,-1.44,1.53,9.81
49.274457,4.09243,29.86,0.02,1.4,10.24
49.274259,4.092163,29.87,-0.72,1.81,7.99
49.274259,4.092163,29.87,-0.9,1.45,9.38
