Location-lat,Location-long,Speed,Accelerometer-X,Accelerometer-Y,Accelerometer-Z
49.455774,4.103315,13.48,-1.85,2.01,8.67
49.455774,4.103315,13.48,-0.92,1.78,9.35
49.45566,4.10325,13.59,-0.75,1.08,9.31
49.45566,4.10325,13.59,-2.09,1.6,9.95
49.455544,4.103188,13.59,-0.57,1.57,8.58
49.455544,4.103188,13.59,-1.51,1.44,9.73
49.455428,4.103132,13.67,-1.94,0.82,9.47
49.455428,4.103132,13.67,-1.2,2.35,8.76
49.45531,4.103081,13.58,-0.96,1.93,9.91
49.45531,4.103081,13.58,-1.24,1.69,9.55
49.455189,4.103032,13.59,-1.17,1.28,9.68
49.455189,4.103032,13.59,-2.32,1.57,11.12
49.455069,4.102986,13.54,-0.11,2.44,8.84
49.455069,4.102986,13.54,-1.1,2.92,10.24
49.45495,4.102948,13.71,0.57,2.48,8.6
49.454828,4.102917,13.82,0.37,0.86,10.0
49.454828,4.102917,13.82,-1.81,1.58,7.77
49.454704,4.102894,14.04,-1.2,0.96,8.65
49.454704,4.102894,14.04,-1.16,3.89,10.0
49.454578,4.102874,14.12,-1.37,3.02,10.55
49.454578,4.102874,14.12,0.44,0.92,9.34
49.454451,4.102858,14.33,-1.48,3.23,9.44
49.454451,4.102858,14.33,-0.06,1.26,9.32
49.454317,4.102845,14.81,-1.8,2.11,9.14
49.454317,4.102845,14.81,-0.95,2.74,12.57
49.45418,4.102833,15.48,-0.7,1.94,9.17
49.45418,4.102833,15.48,-1.39,2.34,8.78
49.454036,4.102819,15.82,-0.33,1.75,7.51
49.454036,4.102819,15.82,-1.54,1.01,10.54
49.453888,4.102806,16.31,-0.14,1.54,7.76
49.453888,4.102806,16.31,-1.83,2.51,9.77
49.453736,4.102791,16.89,0.58,2.37,8.68
49.453736,4.102791,16.89,-0.04,2.39,12.32
49.453581,4.102773,17.36,0.09,2.68,7.99
49.453581,4.102773,17.36,-1.2,1.55,9.29
49.453421,4.102754,17.7,-1.57,1.38,9.69
49.453421,4.102754,17.7,0.45,2.87,10.58
49.45326,4.102736,17.86,0.22,2.26,10.14
49.45326,4.102736,17.86,-1.78,1.48,10.01
49.453092,4.10271,17.96,-0.27,0.89,8.7
49.453092,4.10271,17.96,-0.88,2.4,10.12
49.452926,4.102689,18.16,-0.64,-0.26,8.36
49.452926,4.102689,18.16,-1.79,3.18,10.87
49.452762,4.102671,18.01,-0.49,2.05,9.36
49.452762,4.102671,18.01,-0.64,1.2,9.64
49.452602,4.102654,17.97,0.19,1.06,9.03
49.452602,4.102654,17.97,-1.67,1.69,8.87
