Location-lat,Location-long,Speed,Accelerometer-X,Accelerometer-Y,Accelerometer-Z
49.950386,3.206575,32.9,0.78,1.11,9.2
49.950386,3.206575,32.9,0.77,1.04,9.63
49.950116,3.206752,32.89,0.03,1.1,10.06
49.950116,3.206752,32.89,0.84,1.44,9.06
49.949844,3.206934,32.92,0.2,1.34,10.62
49.949844,3.206934,32.92,0.66,1.36,8.83
49.949571,3.207112,32.97,0.15,0.96,9.51
49.949571,3.207112,32.97,-0.31,1.59,10.94
49.949299,3.207289,33.11,0.44,0.71,8.0
49.949299,3.207289,33.11,1.04,0.61,8.88
49.949023,3.207473,33.1,-0.06,2.25,10.61
49.949023,3.207473,33.1,0.66,1.1,10.7
49.948749,3.207659,33.15,-0.43,2.45,9.81
49.948749,3.207659,33.15,0.09,1.54,9.11
49.948473,3.20784,33.23,-0.31,1.13,11.5
49.948473,3.20784,33.23,-0.59,1.71,8.92
49.948194,3.208025,33.25,-0.32,1.13,9.32
49.948194,3.208025,33.25,-0.89,1.92,9.91
49.947918,3.208203,33.32,-0.38,0.88,10.54
49.947918,3.208203,33.32,-0.28,1.18,10.41
49.947641,3.208386,33.46,1.01,0.87,9.23
49.947641,3.208386,33.46,-1.33,1.94,10.53
49.947366,3.208569,33.48,-0.89,1.61,9.1
49.947366,3.208569,33.48,-0.2,1.51,11.87
49.947091,3.208751,33.39,0.41,0.74,9.15
49.947091,3.208751,33.39,-0.84,0.35,11.27
49.946814,3.208927,33.43,-0.56,1.86,9.39
49.946538,3.209103,33.38,-0.09,0.82,10.43
49.946538,3.209103,33.38,-1.64,1.7,9.43
49.946264,3.209277,33.37,0.4,0.57,9.24
49.946264,3.209277,33.37,-0.61,1.89,9.43
49.945985,3.209451,33.44,0.97,1.08,9.02
49.945985,3.209451,33.44,-0.83,2.36,9.98
49.945707,3.209629,33.55,-1.53,0.82,8.98
49.945707,3.209629,33.55,-0.14,1.83,10.41
49.945428,3.209816,33.56,0.11,1.3,9.51
49.945428,3.209816,33.56,-1.42,0.78,11.38
49.945151,3.210007,33.57,-0.51,0.74,9.38
49.945151,3.210007,33.57,-0.93,2.25,9.15
49.944877,3.2102,33.62,-0.43,1.58,9.57
49.944877,3.2102,33.62,-0.17,1.92,9.66
49.944602,3.210396,33.58,0.96,0.95,9.89
49.944602,3.210396,33.58,-0.47,1.36,11.01
49.944328,3.210591,33.54,0.68,1.03,9.0
49.944328,3.210591,33.54,-0.34,2.34,10.46
49.944055,3.210785,33.52,-1.0,0.5,10.08
49.944055,3.210785,33.52,-0.56,1.73,9.82
49.943786,3.210985,33.48,-0.09,0.36,9.77
49.943786,3.210985,33.48,-0.83,1.44,8.92
49.943516,3.21119,33.35,-0.11,1.38,9.0
49.943516,3.21119,33.35,-1.42,0.23,10.68
49.943247,3.211396,33.31,-0.63,1.55,9.95
49.943247,3.211396,33.31,0.66,0.92,10.77
49.942977,3.211598,33.33,-0.46,1.76,9.01
49.942977,3.211598,33.33,-1.36,0.38,10.76
49.94271,3.211799,33.29,0.08,2.44,10.08
49.94271,3.211799,33.29,-1.34,1.3,10.63
49.942444,3.211998,33.21,-1.13,0.86,10.12
49.942444,3.211998,33.21,-0.39,1.66,8.37
49.942179,3.2122,33.2,0.11,0.88,9.62
49.942179,3.2122,33.2,-1.51,1.44,10.82
49.941913,3.21241,33.09,0.25,1.33,10.52
49.941913,3.21241,33.09,-0.23,0.56,10.03
49.941649,3.212621,33.05,-0.42,1.02,8.7
49.941649,3.212621,33.05,0.17,0.41,9.58
49.941385,3.212833,32.96,-1.56,1.53,10.28
49.941385,3.212833,32.96,-1.24,2.24,10.34
49.941124,3.213042,32.92,-0.67,1.08,9.28
49.940861,3.213256,32.73,0.31,1.07,10.99
